02/27/2022 Test 1,h=0.005,t=2 seconds
Time,Total Energy,q1,q2,q3,q4,q5,q6,q7,q1d,q2d,q3d,q4d,q5d,q6d,q7d
0.005000,61.900551,1.5708,-0.392699,0.785398,-0.523599,0.1,0.1,0.1,0.0785398,0.0785398,0.0785398,0.0785398,0.0785398,0.0785398,0.0785398,
0.010000,61.883151,1.57119,-0.392306,0.785791,-0.523207,0.100393,0.100393,0.100393,0.0786273,0.0785683,0.0783957,0.0783616,0.0785637,0.0786783,0.0786467,
0.015000,61.865747,1.57158,-0.391913,0.786182,-0.522815,0.100786,0.100787,0.100786,0.0787147,0.0785968,0.0782517,0.0781834,0.0785875,0.0788171,0.0787536,
0.020000,61.848337,1.57198,-0.39152,0.786573,-0.522425,0.101179,0.101181,0.101181,0.0788021,0.0786252,0.078108,0.0780051,0.078611,0.078956,0.0788605,
0.025000,61.830922,1.57237,-0.391127,0.786963,-0.522035,0.101572,0.101576,0.101575,0.0788895,0.0786535,0.0779646,0.0778267,0.0786344,0.0790951,0.0789675,
0.030000,61.813503,1.57277,-0.390734,0.787353,-0.521646,0.101965,0.101972,0.10197,0.0789767,0.0786819,0.0778214,0.0776483,0.0786576,0.0792344,0.0790745,
0.035000,61.796078,1.57316,-0.39034,0.787741,-0.521259,0.102358,0.102369,0.102366,0.0790639,0.0787102,0.0776784,0.0774699,0.0786806,0.0793738,0.0791816,
0.040000,61.778649,1.57356,-0.389947,0.788129,-0.520872,0.102752,0.102766,0.102762,0.0791511,0.0787385,0.0775356,0.0772914,0.0787034,0.0795135,0.0792887,
0.045000,61.761215,1.57395,-0.389553,0.788517,-0.520486,0.103145,0.103164,0.103159,0.0792382,0.0787667,0.0773931,0.0771128,0.078726,0.0796534,0.0793959,
0.050000,61.743776,1.57435,-0.389159,0.788903,-0.520101,0.103539,0.103562,0.103556,0.0793253,0.0787949,0.0772508,0.0769342,0.0787484,0.0797934,0.0795031,
0.055000,61.726332,1.57475,-0.388765,0.789289,-0.519716,0.103933,0.103962,0.103954,0.0794123,0.0788231,0.0771088,0.0767555,0.0787707,0.0799337,0.0796103,
0.060000,61.708883,1.57514,-0.388371,0.789674,-0.519333,0.104327,0.104362,0.104352,0.0794992,0.0788512,0.076967,0.0765768,0.0787928,0.0800741,0.0797177,
0.065000,61.691429,1.57554,-0.387976,0.790059,-0.518951,0.104721,0.104762,0.104751,0.0795861,0.0788793,0.0768254,0.0763981,0.0788146,0.0802148,0.079825,
0.070000,61.673971,1.57594,-0.387582,0.790443,-0.518569,0.105115,0.105164,0.10515,0.0796729,0.0789073,0.0766841,0.0762192,0.0788363,0.0803556,0.0799324,
0.075000,61.656507,1.57634,-0.387187,0.790826,-0.518188,0.105509,0.105566,0.10555,0.0797597,0.0789354,0.0765429,0.0760404,0.0788578,0.0804966,0.0800399,
0.080000,61.639039,1.57674,-0.386793,0.791208,-0.517809,0.105903,0.105969,0.105951,0.0798464,0.0789634,0.0764021,0.0758614,0.0788792,0.0806378,0.0801473,
0.085000,61.621566,1.57714,-0.386398,0.79159,-0.51743,0.106298,0.106372,0.106352,0.0799331,0.0789913,0.0762614,0.0756824,0.0789003,0.0807792,0.0802549,
0.090000,61.604089,1.57754,-0.386003,0.791971,-0.517052,0.106692,0.106777,0.106753,0.0800197,0.0790192,0.076121,0.0755034,0.0789213,0.0809208,0.0803625,
0.095000,61.586606,1.57794,-0.385608,0.792351,-0.516675,0.107087,0.107182,0.107155,0.0801063,0.0790471,0.0759808,0.0753243,0.078942,0.0810626,0.0804701,
0.100000,61.569119,1.57834,-0.385212,0.792731,-0.516299,0.107482,0.107587,0.107558,0.0801928,0.079075,0.0758408,0.0751452,0.0789626,0.0812046,0.0805778,
0.105000,61.551628,1.57874,-0.384817,0.793109,-0.515923,0.107877,0.107994,0.107961,0.0802792,0.0791028,0.0757011,0.074966,0.078983,0.0813468,0.0806855,
0.110000,61.534131,1.57914,-0.384421,0.793488,-0.515549,0.108272,0.108401,0.108365,0.0803656,0.0791306,0.0755616,0.0747867,0.0790033,0.0814891,0.0807933,
0.115000,61.516630,1.57954,-0.384026,0.793865,-0.515175,0.108667,0.108809,0.108769,0.080452,0.0791584,0.0754223,0.0746074,0.0790233,0.0816317,0.0809011,
0.120000,61.499124,1.57994,-0.38363,0.794242,-0.514803,0.109062,0.109217,0.109174,0.0805382,0.0791861,0.0752833,0.074428,0.0790432,0.0817744,0.081009,
0.125000,61.481614,1.58035,-0.383234,0.794618,-0.514431,0.109457,0.109626,0.109579,0.0806245,0.0792138,0.0751445,0.0742486,0.0790629,0.0819174,0.0811169,
0.130000,61.464099,1.58075,-0.382838,0.794993,-0.51406,0.109853,0.110036,0.109985,0.0807106,0.0792414,0.0750059,0.0740692,0.0790824,0.0820605,0.0812248,
0.135000,61.446579,1.58115,-0.382441,0.795368,-0.51369,0.110248,0.110447,0.110391,0.0807967,0.0792691,0.0748675,0.0738897,0.0791017,0.0822039,0.0813329,
0.140000,61.429055,1.58156,-0.382045,0.795742,-0.513321,0.110644,0.110858,0.110798,0.0808828,0.0792967,0.0747294,0.0737101,0.0791208,0.0823474,0.0814409,
0.145000,61.411526,1.58196,-0.381648,0.796115,-0.512953,0.111039,0.11127,0.111206,0.0809688,0.0793242,0.0745915,0.0735305,0.0791398,0.0824911,0.081549,
0.150000,61.393992,1.58237,-0.381252,0.796488,-0.512586,0.111435,0.111683,0.111614,0.0810548,0.0793518,0.0744538,0.0733508,0.0791586,0.082635,0.0816572,
0.155000,61.376454,1.58277,-0.380855,0.79686,-0.51222,0.111831,0.112097,0.112022,0.0811407,0.0793793,0.0743164,0.0731711,0.0791772,0.0827791,0.0817654,
0.160000,61.358912,1.58318,-0.380458,0.797231,-0.511854,0.112227,0.112511,0.112431,0.0812265,0.0794068,0.0741792,0.0729913,0.0791956,0.0829234,0.0818736,
0.165000,61.341365,1.58359,-0.380061,0.797602,-0.51149,0.112623,0.112926,0.112841,0.0813123,0.0794342,0.0740422,0.0728114,0.0792139,0.0830679,0.0819819,
0.170000,61.323813,1.58399,-0.379663,0.797971,-0.511126,0.113019,0.113342,0.113251,0.081398,0.0794616,0.0739054,0.0726316,0.079232,0.0832126,0.0820903,
0.175000,61.306257,1.5844,-0.379266,0.798341,-0.510764,0.113415,0.113758,0.113662,0.0814837,0.079489,0.0737688,0.0724516,0.0792499,0.0833575,0.0821987,
0.180000,61.288696,1.58481,-0.378869,0.798709,-0.510402,0.113811,0.114175,0.114073,0.0815693,0.0795164,0.0736325,0.0722716,0.0792676,0.0835025,0.0823071,
0.185000,61.271131,1.58521,-0.378471,0.799077,-0.510041,0.114208,0.114593,0.114485,0.0816549,0.0795437,0.0734964,0.0720916,0.0792851,0.0836478,0.0824156,
0.190000,61.253562,1.58562,-0.378073,0.799444,-0.509681,0.114604,0.115012,0.114897,0.0817404,0.079571,0.0733605,0.0719115,0.0793025,0.0837932,0.0825241,
0.195000,61.235988,1.58603,-0.377675,0.799811,-0.509322,0.115001,0.115431,0.11531,0.0818258,0.0795982,0.0732249,0.0717313,0.0793197,0.0839389,0.0826327,
0.200000,61.218410,1.58644,-0.377277,0.800176,-0.508964,0.115397,0.115851,0.115724,0.0819112,0.0796255,0.0730894,0.0715511,0.0793367,0.0840847,0.0827414,
0.205000,61.200827,1.58685,-0.376879,0.800541,-0.508606,0.115794,0.116272,0.116138,0.0819966,0.0796527,0.0729542,0.0713708,0.0793536,0.0842308,0.08285,
0.210000,61.183240,1.58726,-0.376481,0.800906,-0.50825,0.116191,0.116693,0.116552,0.0820819,0.0796799,0.0728192,0.0711905,0.0793702,0.084377,0.0829588,
0.215000,61.165648,1.58767,-0.376082,0.80127,-0.507894,0.116588,0.117116,0.116967,0.0821671,0.079707,0.0726845,0.0710101,0.0793867,0.0845234,0.0830676,
0.220000,61.148052,1.58808,-0.375684,0.801633,-0.50754,0.116985,0.117539,0.117383,0.0822523,0.0797341,0.0725499,0.0708297,0.079403,0.0846701,0.0831764,
0.225000,61.130452,1.58849,-0.375285,0.801995,-0.507186,0.117382,0.117962,0.117799,0.0823374,0.0797612,0.0724156,0.0706493,0.0794192,0.0848169,0.0832853,
0.230000,61.112848,1.58891,-0.374886,0.802357,-0.506833,0.117779,0.118387,0.118216,0.0824225,0.0797883,0.0722815,0.0704687,0.0794352,0.0849639,0.0833942,
0.235000,61.095239,1.58932,-0.374487,0.802718,-0.506481,0.118176,0.118812,0.118633,0.0825075,0.0798153,0.0721476,0.0702881,0.079451,0.0851111,0.0835032,
0.240000,61.077625,1.58973,-0.374088,0.803078,-0.50613,0.118574,0.119238,0.119051,0.0825924,0.0798424,0.072014,0.0701075,0.0794666,0.0852585,0.0836122,
0.245000,61.060008,1.59014,-0.373689,0.803438,-0.50578,0.118971,0.119665,0.119469,0.0826773,0.0798693,0.0718805,0.0699268,0.0794821,0.0854061,0.0837213,
0.250000,61.042386,1.59056,-0.373289,0.803797,-0.505431,0.119368,0.120092,0.119888,0.0827622,0.0798963,0.0717473,0.0697461,0.0794973,0.0855539,0.0838304,
0.255000,61.024760,1.59097,-0.37289,0.804156,-0.505083,0.119766,0.12052,0.120307,0.082847,0.0799232,0.0716143,0.0695653,0.0795125,0.0857018,0.0839396,
0.260000,61.007130,1.59139,-0.37249,0.804513,-0.504735,0.120164,0.120949,0.120727,0.0829317,0.0799501,0.0714815,0.0693844,0.0795274,0.08585,0.0840488,
0.265000,60.989495,1.5918,-0.37209,0.80487,-0.504389,0.120561,0.121379,0.121148,0.0830164,0.079977,0.0713489,0.0692035,0.0795422,0.0859984,0.0841581,
0.270000,60.971857,1.59222,-0.37169,0.805227,-0.504043,0.120959,0.121809,0.121569,0.083101,0.0800039,0.0712166,0.0690226,0.0795568,0.0861469,0.0842674,
0.275000,60.954214,1.59263,-0.37129,0.805583,-0.503699,0.121357,0.12224,0.121991,0.0831856,0.0800307,0.0710844,0.0688415,0.0795712,0.0862957,0.0843768,
0.280000,60.936566,1.59305,-0.37089,0.805938,-0.503355,0.121755,0.122672,0.122413,0.0832701,0.0800575,0.0709525,0.0686605,0.0795855,0.0864447,0.0844862,
0.285000,60.918915,1.59347,-0.370489,0.806292,-0.503012,0.122153,0.123105,0.122835,0.0833546,0.0800843,0.0708208,0.0684794,0.0795996,0.0865938,0.0845956,
0.290000,60.901260,1.59388,-0.370089,0.806646,-0.50267,0.122551,0.123538,0.123259,0.083439,0.080111,0.0706893,0.0682982,0.0796135,0.0867432,0.0847052,
0.295000,60.883600,1.5943,-0.369688,0.806999,-0.502329,0.122949,0.123972,0.123683,0.0835233,0.0801377,0.070558,0.068117,0.0796273,0.0868927,0.0848147,
0.300000,60.865936,1.59472,-0.369288,0.807351,-0.501989,0.123347,0.124407,0.124107,0.0836076,0.0801644,0.070427,0.0679357,0.0796408,0.0870424,0.0849244,
0.305000,60.848268,1.59514,-0.368887,0.807703,-0.50165,0.123745,0.124842,0.124532,0.0836919,0.0801911,0.0702961,0.0677544,0.0796543,0.0871924,0.085034,
0.310000,60.830596,1.59555,-0.368486,0.808054,-0.501312,0.124143,0.125279,0.124957,0.083776,0.0802177,0.0701655,0.067573,0.0796675,0.0873425,0.0851437,
