h=0.005,t=5seconds
Time, Kinetic Energy, Potential Energy, Total Energy,q1,q2,q3,q4,q5,q6,q7,q1d,q2d,q3d,q4d,q5d,q6d,q7d
0.000000,2.740950,40.125515,42.866465,0,0,0,0,0,0,0,0.785398,0.785398,0.785398,0.785398,0.785398,0.785398,0.785398,
0.005000,2.740927,39.902905,42.643831,0,0,0,0,0,0,0,0.785398,0.785398,0.785398,0.785398,0.785398,0.785398,0.785398,
0.010000,2.740927,39.680706,42.421633,0.00392223,0.00391779,0.00393745,0.00395026,0.00393342,0.00390163,0.00393238,0.783497,0.781752,0.789521,0.794624,0.787966,0.775239,0.787586,
0.015000,2.740928,39.458927,42.199854,0.00783497,0.00781752,0.00789521,0.00794624,0.00787966,0.0077524,0.00787586,0.781602,0.778175,0.793522,0.803683,0.790524,0.765053,0.789834,
0.020000,2.740928,39.237574,41.978503,0.0117382,0.0116995,0.0118727,0.0119871,0.0118387,0.0115522,0.0118307,0.779713,0.77467,0.7974,0.812569,0.793074,0.754843,0.79214,
0.025000,2.740929,39.016657,41.757586,0.0156321,0.0155642,0.0158692,0.0160719,0.0158104,0.0153008,0.0157973,0.777834,0.771237,0.801154,0.82128,0.795619,0.744615,0.794501,
0.030000,2.740930,38.796181,41.537111,0.0195166,0.0194119,0.0198842,0.0201999,0.0197949,0.0189983,0.0197757,0.775964,0.767879,0.804782,0.829812,0.79816,0.734372,0.796914,
0.035000,2.740930,38.576155,41.317085,0.0233918,0.023243,0.023917,0.02437,0.023792,0.0226446,0.0237664,0.774106,0.764597,0.808284,0.83816,0.800698,0.724118,0.799376,
0.040000,2.740931,38.356586,41.097516,0.0272577,0.0270579,0.027967,0.0285815,0.0278018,0.0262395,0.0277695,0.772261,0.761395,0.81166,0.84632,0.803235,0.713859,0.801886,
0.045000,2.740931,38.137480,40.878411,0.0311144,0.030857,0.0320336,0.0328332,0.0318244,0.0297831,0.0317853,0.77043,0.758272,0.814908,0.85429,0.805773,0.703598,0.80444,
0.050000,2.740932,37.918845,40.659777,0.034962,0.0346406,0.0361161,0.0371244,0.0358596,0.0332755,0.0358139,0.768615,0.755232,0.818029,0.862065,0.808312,0.69334,0.807036,
0.055000,2.740933,37.700689,40.441622,0.0388005,0.0384093,0.0402139,0.0414539,0.0399075,0.0367166,0.0398556,0.766818,0.752275,0.821023,0.869641,0.810854,0.68309,0.809671,
0.060000,2.740933,37.483018,40.223951,0.0426301,0.0421634,0.0443264,0.0458208,0.0439681,0.0401064,0.0439106,0.765039,0.749403,0.823891,0.877015,0.813399,0.672852,0.812343,
0.065000,2.740934,37.265839,40.006773,0.0464509,0.0459033,0.0484528,0.050224,0.0480415,0.0434451,0.0479791,0.763281,0.746619,0.826633,0.884182,0.815948,0.662631,0.815049,
0.070000,2.740935,37.049160,39.790094,0.050263,0.0496295,0.0525927,0.0546626,0.0521276,0.0467327,0.0520611,0.761545,0.743922,0.82925,0.89114,0.818502,0.652432,0.817786,
0.075000,2.740935,36.832986,39.573921,0.0540664,0.0533425,0.0567453,0.0591354,0.0562265,0.0499694,0.0561569,0.759833,0.741316,0.831743,0.897885,0.821061,0.64226,0.820552,
0.080000,2.740936,36.617325,39.358261,0.0578613,0.0570427,0.0609101,0.0636414,0.0603382,0.0531553,0.0602666,0.758147,0.738801,0.834113,0.904413,0.823624,0.632119,0.823344,
0.085000,2.740936,36.402183,39.143120,0.0616478,0.0607305,0.0650865,0.0681796,0.0644627,0.0562906,0.0643903,0.756487,0.736378,0.836363,0.91072,0.826193,0.622014,0.826159,
